Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
95,32000,108,116,16000,116
76,15000,108,99,0,117
77,15000,109,92,0,117
76,0,109,73,0,117
78,0,110,73,0,118
79,0,111,73,0,107
82,0,111,73,0,107
80,0,111,79,0,108
81,0,112,94,0,108
75,0,112,75,16000,108
75,15000,113,73,16000,109
75,0,114,74,31000,109
76,16000,114,75,0,110
77,0,114,72,0,110
75,0,115,74,0,110
75,0,115,73,0,111
76,0,105,71,15000,111
80,0,106,75,0,111
73,0,106,74,31000,112
76,0,107,73,0,112
84,31000,107,72,0,113
79,0,108,73,0,113
75,0,108,79,0,113
75,0,109,75,16000,114
75,16000,109,74,15000,114
74,0,109,74,0,115
75,0,110,74,16000,115
73,16000,110,72,0,115
74,15000,111,72,0,116
77,0,111,72,0,116
76,0,112,74,16000,117
74,0,112,72,0,117
123,0,112,74,31000,117
88,0,113,72,15000,118
73,0,113,73,0,118
100,0,114,74,0,118
76,16000,114,72,16000,108
74,0,115,79,0,108
75,31000,115,83,16000,109
75,0,116,71,15000,109
