Res_Time_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
74,219,0,42
82,216,0,42
78,277,0,42
78,220,0,42
78,217,0,42
80,217,0,43
121,215,0,43
75,234,0,43
92,226,0,43
84,220,0,43
87,215,0,43
80,220,0,44
80,220,0,44
79,224,0,44
77,221,16000,44
80,218,0,44
82,241,0,44
74,230,0,45
77,223,0,45
77,219,0,45
81,218,0,45
78,218,0,45
78,226,0,45
80,222,0,46
80,220,0,46
78,217,0,46
76,221,0,46
76,220,0,46
77,221,0,46
76,220,15000,47
73,221,0,47
94,216,0,47
109,229,0,47
76,230,0,47
80,254,0,47
74,222,0,47
75,224,0,48
76,242,0,48
96,214,0,48
74,207,0,48
79,234,0,48
78,216,0,49
76,211,0,49
75,207,0,49
78,232,0,49
81,253,0,49
74,209,0,49
77,211,0,50
78,209,0,50
78,209,0,50
77,207,0,50
78,230,0,50
83,207,0,50
74,212,0,51
76,208,0,51
74,230,0,51
77,248,0,51
77,210,0,51
76,208,0,51
73,206,0,52
76,207,0,52
75,207,0,52
75,209,0,42
79,210,0,42
73,208,15000,42
87,214,0,43
102,206,0,43
92,208,0,43
77,229,0,43
77,247,15000,43
78,244,0,44
78,221,0,44
77,206,0,44
76,212,0,44
77,235,0,44
80,224,0,44
77,215,0,45
77,220,0,45
78,220,0,45
77,219,0,45
78,220,0,45
78,251,0,45
76,259,0,45
76,224,0,46
78,247,0,46
76,224,0,46
75,222,0,46
75,219,16000,46
75,219,0,46
75,236,0,47
73,215,0,47
79,219,0,47
76,217,0,47
73,254,0,47
79,219,16000,47
74,222,0,48
74,218,0,48
73,220,0,48
77,222,0,48
74,220,0,48
73,219,0,48
78,221,0,49
103,229,0,49
73,215,0,49
73,233,0,49
79,243,16000,49
77,218,0,49
78,224,16000,50
77,220,0,50
74,224,0,50
75,219,0,50
82,214,0,50
77,248,0,50
79,217,0,51
76,216,0,51
79,241,0,51
97,216,0,51
78,247,0,51
82,219,0,51
79,217,0,52
76,218,0,52
78,216,0,52
81,215,0,52
77,220,0,52
79,231,0,52
75,225,0,52
76,267,0,53
78,229,0,53
77,254,15000,53
78,223,0,53
77,258,0,54
75,236,0,54
76,220,0,54
75,218,0,34
75,218,0,34
77,217,0,35
77,222,0,35
87,220,0,35
77,240,0,35
75,218,16000,35
75,228,0,35
79,228,0,36
77,226,0,36
79,216,0,36
75,224,0,36
75,258,0,36
75,215,0,36
77,217,0,37
77,217,0,37
77,215,0,37
79,223,0,37
79,224,0,37
80,216,0,37
104,216,0,37
78,251,0,38
72,264,0,38
74,218,0,38
77,215,0,38
75,219,0,39
75,218,0,39
79,216,16000,39
78,216,0,39
77,216,0,39
82,216,0,39
84,218,0,39
80,227,0,40
81,215,0,40
80,218,0,40
76,216,16000,40
76,217,0,40
79,218,16000,40
76,230,0,41
78,217,0,41
77,217,0,41
73,220,16000,41
76,215,0,42
74,216,16000,42
72,215,0,42
75,218,0,42
94,222,0,42
107,217,0,42
99,217,0,42
74,215,0,43
74,216,0,43
78,261,16000,43
79,221,0,43
79,215,0,43
77,219,0,43
73,223,0,44
87,216,0,44
74,216,15000,44
75,217,0,44
73,248,0,44
84,215,0,44
77,216,0,45
76,219,0,45
77,219,0,45
74,216,0,45
78,229,0,45
77,218,0,45
76,215,0,46
75,217,0,46
79,221,0,46
75,255,0,46
73,216,0,46
114,220,0,46
77,223,0,47
75,221,0,47
73,217,0,47
78,232,0,47
77,220,0,47
77,216,0,47
74,224,0,47
73,249,0,36
81,229,0,37
77,217,0,37
72,219,0,37
71,214,0,37
74,218,0,37
80,218,0,37
77,216,0,38
76,218,0,38
78,281,0,38
79,218,0,34
74,220,0,34
75,242,0,34
73,217,0,35
78,215,0,35
79,217,0,35
79,229,0,34
75,243,0,35
119,218,0,35
76,219,0,33
76,218,0,33
77,221,0,33
74,216,0,34
72,217,0,34
73,218,16000,34
77,217,0,33
75,216,0,34
74,242,0,34
73,263,0,34
94,207,0,34
77,210,0,34
95,231,0,34
79,210,16000,34
76,224,0,34
74,210,0,34
76,211,0,34
72,208,0,34
76,209,0,34
74,218,0,34
77,208,0,34
79,220,0,34
76,237,0,34
74,209,0,34
78,216,0,34
76,207,0,35
86,202,0,34
76,214,0,34
77,249,0,35
73,205,0,35
81,216,0,35
75,227,0,35
79,205,0,35
76,207,0,35
78,208,0,36
74,206,0,36
72,210,0,34
73,211,0,34
76,221,0,35
80,208,0,35
77,220,0,35
77,218,0,35
76,230,0,35
77,275,0,35
78,238,0,36
83,227,0,36
76,228,0,35
77,275,0,35
72,219,0,35
72,208,0,35
75,214,0,35
78,227,0,35
78,207,0,36
75,206,0,36
76,206,0,36
79,207,0,36
82,206,0,36
82,206,0,35
77,224,0,35
75,205,0,35
75,206,0,36
71,209,0,36
77,206,0,36
76,208,0,36
97,209,16000,36
75,208,0,36
74,204,0,35
76,213,0,35
76,207,0,35
74,217,0,36
72,207,0,36
78,207,0,36
77,207,0,36
77,210,0,36
77,208,0,36
81,235,0,37
78,215,0,35
112,208,0,35
81,214,0,36
76,211,0,36
76,211,0,36
154,207,0,36
77,216,0,36
76,208,0,37
75,216,0,37
74,209,0,37
77,286,0,37
78,219,0,36
75,293,0,36
77,218,0,36
79,219,0,36
76,219,0,36
75,231,0,37
75,268,0,37
75,234,0,37
85,214,0,37
76,222,0,37
78,207,0,38
76,210,0,38
76,208,0,38
76,205,0,38
77,209,0,38
76,205,0,38
73,207,0,39
75,222,0,39
80,244,0,39
78,234,0,39
72,271,0,39
74,233,0,36
79,221,0,36
76,219,0,37
77,257,0,37
72,219,0,37
84,220,0,37
77,215,0,37
122,217,0,37
89,220,0,38
79,219,0,38
71,220,0,38
71,251,0,38
72,219,0,38
77,271,0,39
76,281,16000,39
77,243,0,39
81,216,0,39
76,325,0,39
77,261,0,39
76,217,0,40
104,218,0,40
83,218,0,37
95,219,0,37
75,243,0,37
74,219,0,37
81,220,0,38
75,219,16000,38
77,226,0,38
76,215,0,38
76,217,0,38
77,218,0,38
78,232,0,39
76,258,0,39
77,219,0,39
75,243,0,39
76,218,0,39
77,266,0,39
77,216,0,40
77,218,0,40
70,216,16000,40
73,243,0,38
77,228,0,38
76,243,0,38
76,219,0,38
76,220,0,38
76,219,0,38
76,242,0,39
78,211,0,39
77,211,0,39
74,210,0,39
72,221,0,39
77,208,0,39
76,208,0,40
76,228,0,40
79,206,0,40
74,224,0,40
76,214,0,40
78,207,16000,41
76,204,0,41
73,224,0,38
93,208,0,38
76,210,16000,38
81,207,15000,38
73,205,0,39
72,215,0,39
75,209,0,39
75,209,0,39
77,227,0,39
77,205,0,39
77,207,0,40
79,257,0,40
76,247,0,40
74,206,0,40
75,211,0,40
90,213,0,40
76,225,0,41
78,209,0,41
79,212,0,41
77,213,0,41
76,210,0,41
76,210,0,38
78,220,0,39
76,207,0,39
72,212,0,39
87,206,0,39
74,210,0,39
75,209,0,39
76,211,15000,40
78,215,0,40
93,211,0,40
75,210,0,40
73,209,0,40
78,233,15000,33
73,248,0,34
76,211,0,34
100,206,0,34
77,207,0,34
79,210,0,34
73,208,0,34
75,208,0,35
75,211,0,35
75,204,0,35
98,208,0,35
77,293,0,35
76,223,0,35
73,218,0,36
77,218,0,36
74,222,0,36
73,221,0,36
76,222,0,36
76,221,0,36
75,278,0,36
85,217,0,37
77,219,0,37
90,219,0,37
76,218,0,37
78,220,0,37
74,214,15000,37
75,218,0,38
74,222,0,38
75,216,0,38
88,219,0,38
75,218,0,38
87,219,0,38
90,216,0,39
78,220,0,39
74,219,0,39
76,220,0,39
72,221,0,39
77,219,0,40
76,232,0,40
77,232,0,40
77,228,0,35
72,207,0,35
74,207,0,35
78,210,0,35
76,208,0,35
74,210,0,35
103,205,0,35
74,209,0,36
84,208,0,36
75,209,15000,36
72,208,0,36
77,207,0,36
101,223,16000,36
72,209,0,37
76,207,0,37
75,206,0,37
76,208,0,37
75,208,0,37
77,240,0,37
78,211,16000,38
108,205,0,38
75,230,0,38
74,205,0,38
74,210,0,38
76,249,0,38
76,210,0,39
74,231,0,39
78,205,0,39
79,207,0,39
76,224,0,39
77,234,0,39
76,208,16000,40
91,206,0,40
90,206,0,40
77,204,0,40
71,211,0,35
87,203,0,35
76,219,0,36
81,226,15000,36
74,207,0,36
74,235,0,36
73,207,0,36
76,205,0,36
76,206,0,37
77,205,15000,37
78,205,0,37
77,223,0,37
78,257,0,37
74,206,0,37
74,207,0,38
81,211,0,38
77,207,0,38
76,214,0,38
75,207,15000,38
78,208,0,38
76,210,0,39
76,280,0,39
71,227,0,39
72,248,0,39
75,221,0,39
73,217,0,40
77,219,15000,40
75,252,0,40
72,218,0,40
72,219,0,40
76,225,0,40
77,216,0,41
77,222,0,41
74,222,0,41
71,214,0,41
73,217,0,36
76,217,0,36
77,215,0,37
76,216,0,37
73,216,0,37
74,311,0,37
73,218,0,37
91,215,0,38
79,215,0,38
76,233,0,38
83,216,0,38
85,219,0,38
78,214,0,38
80,214,0,39
82,214,0,39
102,216,0,39
75,217,0,39
72,217,0,39
90,215,0,39
76,214,0,40
75,218,0,40
79,220,0,40
80,220,0,40
89,216,0,40
81,234,16000,40
114,214,0,41
78,216,0,41
78,243,0,41
85,217,0,41
81,218,15000,41
79,218,0,41
87,217,0,42
88,219,0,42
90,220,0,42
109,218,0,42
122,216,0,37
107,224,0,38
73,216,0,38
82,219,0,38
85,224,0,38
77,216,0,38
79,217,0,38
84,229,0,39
77,247,0,39
98,253,0,39
93,221,0,39
84,218,0,39
128,222,0,39
82,216,0,40
115,218,16000,40
86,217,0,40
122,215,0,40
77,218,0,40
96,215,0,40
102,216,0,41
83,216,0,41
80,218,0,41
109,219,78000,41
86,232,0,41
113,217,0,41
114,219,0,42
100,217,0,42
116,247,0,42
96,225,0,42
77,216,0,42
77,218,0,43
80,216,0,43
78,218,16000,43
75,217,0,43
78,217,0,43
103,219,0,43
77,222,0,38
75,213,0,38
76,234,0,39
76,226,0,39
73,214,0,39
76,216,0,39
75,273,0,39
100,236,0,40
75,221,0,40
75,222,0,40
76,359,0,40
75,221,0,40
88,220,0,40
75,216,0,41
73,214,0,41
70,215,0,41
70,217,0,41
70,217,0,41
73,213,0,41
82,215,0,42
78,213,16000,42
124,213,0,42
76,222,0,42
74,217,0,42
78,213,15000,42
75,217,0,43
76,222,0,43
102,217,0,43
79,230,0,43
80,217,0,43
76,220,16000,44
75,221,0,44
75,239,0,44
82,225,0,44
75,222,0,44
77,222,0,44
77,241,0,39
78,215,0,40
77,215,0,40
75,234,0,40
75,216,0,40
71,216,0,40
74,223,0,40
76,268,0,41
79,225,0,41
78,223,0,41
75,216,0,41
74,236,0,41
77,261,0,41
77,216,0,42
75,217,0,42
73,214,16000,42
74,217,0,42
105,214,0,42
73,222,0,42
75,238,0,43
71,217,0,43
77,215,0,43
84,219,0,43
77,217,0,43
72,218,0,44
77,220,0,44
74,214,0,44
74,214,0,44
74,221,0,44
74,233,0,44
73,250,0,45
75,215,0,45
73,215,0,45
74,214,0,45
76,220,15000,45
71,223,0,45
72,299,0,34
75,214,0,34
73,217,0,34
74,218,0,34
72,220,0,34
78,236,0,34
76,230,0,35
76,220,0,35
71,215,0,35
73,216,0,35
76,215,0,35
73,215,0,35
78,214,0,36
75,223,0,36
72,232,0,36
80,219,0,36
74,226,0,36
75,222,0,36
75,222,0,36
75,218,15000,37
75,220,0,37
76,224,0,37
77,229,0,37
74,220,0,37
78,229,0,37
73,221,0,38
78,218,0,38
75,233,0,38
113,216,0,38
75,207,0,38
73,206,15000,39
77,209,0,39
75,209,0,39
77,210,16000,39
76,211,0,39
76,208,0,39
73,205,0,40
77,205,0,40
75,208,0,40
77,211,0,40
75,206,0,40
75,206,0,40
76,209,15000,41
75,204,0,41
79,210,0,41
75,210,0,41
74,209,0,41
73,208,16000,41
105,212,0,42
79,205,0,42
76,210,0,42
79,244,0,42
74,212,0,42
73,250,0,42
74,216,0,43
71,217,0,43
75,227,0,43
73,299,0,43
77,213,0,43
75,214,0,43
72,226,15000,44
75,211,0,44
78,214,0,44
76,215,0,44
75,214,15000,44
71,218,0,44
77,219,0,45
75,221,0,45
76,220,0,45
72,214,0,45
74,223,0,45
76,217,0,45
81,245,0,46
82,217,0,46
76,228,0,46
70,219,0,46
75,213,0,46
73,216,0,36
92,218,0,36
80,218,0,36
73,215,15000,36
74,220,16000,36
76,216,0,36
75,215,0,37
82,217,0,37
82,216,16000,37
