Res_Time_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
303,257,0,34
172,226,0,34
79,223,0,34
87,219,0,35
80,218,0,35
80,221,0,35
78,222,0,35
79,219,0,35
81,219,0,35
83,217,0,36
78,221,0,36
79,219,0,36
79,219,0,36
75,220,16000,36
86,231,0,36
79,249,0,37
82,218,0,37
74,221,15000,37
83,218,0,37
76,231,15000,37
80,264,0,37
79,218,0,38
83,312,0,38
80,218,0,38
79,220,0,38
82,221,0,38
95,221,0,38
79,221,0,39
85,229,0,39
81,221,15000,39
94,224,0,39
78,221,0,39
79,222,0,39
78,224,0,40
83,225,0,40
79,226,0,40
78,231,0,40
79,220,0,40
80,219,0,40
82,225,0,41
74,259,0,41
81,225,0,41
84,223,0,41
80,218,0,41
81,233,0,41
88,224,0,42
80,224,0,42
78,221,0,42
80,224,0,42
78,222,15000,42
81,226,0,43
77,224,0,43
78,223,0,43
75,227,0,43
83,221,0,43
78,224,0,43
91,222,0,44
76,223,0,44
77,221,0,44
76,222,0,44
80,225,0,44
77,222,0,44
73,221,0,45
74,219,0,45
81,218,0,45
85,219,0,45
79,254,0,45
83,216,0,45
80,264,0,46
76,227,0,46
80,221,0,46
78,252,0,46
80,245,0,46
78,243,0,46
85,217,0,47
85,237,0,47
74,220,79000,47
79,220,0,47
79,228,0,36
81,219,0,36
78,227,15000,37
78,222,0,37
81,225,0,37
81,223,0,37
81,219,0,37
79,220,0,37
81,225,0,38
81,222,0,38
81,223,0,38
76,223,0,38
73,221,0,38
77,225,0,38
84,244,0,39
78,222,0,39
79,220,0,39
75,216,0,39
74,221,0,39
82,221,16000,39
80,217,0,40
84,230,0,40
85,227,0,40
74,221,0,40
81,223,0,40
78,250,0,40
113,218,0,41
78,222,0,41
79,221,0,41
80,228,0,41
81,239,0,42
80,218,0,42
76,218,0,42
80,217,0,42
77,245,0,42
76,226,0,42
74,218,0,43
79,230,0,43
80,229,0,43
80,225,0,43
77,220,0,43
76,217,0,43
81,216,0,44
82,219,0,44
80,219,0,44
86,221,0,44
74,221,0,44
79,235,0,44
83,250,0,45
80,272,15000,45
80,283,0,45
77,245,0,45
80,223,0,45
78,223,0,45
78,234,15000,46
76,219,0,46
82,260,0,46
79,230,0,46
77,228,15000,46
89,219,0,46
97,220,0,47
75,237,0,47
74,220,0,47
86,222,0,47
76,223,0,47
76,221,0,47
75,220,0,48
78,225,0,48
74,219,0,48
77,258,0,48
78,225,0,48
83,223,0,38
75,217,0,39
75,220,0,39
81,222,15000,39
78,217,16000,39
80,215,0,39
77,218,16000,39
76,218,0,40
75,218,0,40
80,222,0,40
79,220,0,40
75,219,0,40
79,234,0,40
79,229,0,41
80,219,0,41
77,215,0,41
76,218,0,41
76,276,0,41
77,216,0,41
76,216,0,42
78,233,0,42
77,253,0,42
75,218,0,42
76,235,16000,42
79,219,0,42
78,219,0,43
78,221,0,43
79,225,0,43
75,225,0,43
76,218,0,43
81,219,0,44
79,220,0,44
78,226,0,44
79,224,0,44
77,214,16000,44
83,218,0,44
76,244,0,45
74,220,15000,45
79,221,0,45
97,219,0,45
79,219,0,45
76,244,0,45
79,224,0,46
81,217,0,46
77,220,0,46
78,232,0,46
75,220,0,46
79,226,0,46
80,227,16000,47
78,230,0,47
79,236,0,47
80,222,0,47
78,225,0,47
79,223,0,47
79,231,0,48
75,241,0,48
85,221,0,48
78,239,0,48
78,224,0,48
77,218,0,48
91,237,0,49
80,216,16000,49
77,242,0,49
75,217,0,49
77,232,0,49
78,221,0,49
73,220,0,50
77,219,0,50
78,223,0,50
82,219,0,50
73,218,0,50
76,222,0,40
78,218,0,40
79,220,0,41
77,222,0,41
75,223,15000,41
76,227,0,41
80,224,0,41
80,220,0,41
82,219,0,42
