Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
53,16000,30,477,15000,40
34,0,31,98,0,35
185,31000,32,89,0,35
31,0,32,74,0,36
34,0,33,73,0,36
31,0,33,78,0,37
32,16000,34,74,0,37
31,0,34,74,0,37
31,0,35,74,0,38
31,0,35,73,0,38
32,0,36,74,0,38
33,0,36,75,15000,39
32,0,37,74,0,39
31,0,37,73,16000,40
32,0,38,74,0,40
38,0,38,74,0,40
31,15000,39,80,0,41
30,16000,39,82,0,41
42,16000,39,76,0,35
33,15000,40,73,0,36
30,0,40,73,0,36
29,0,41,80,0,37
414,0,41,141,0,37
29,0,42,75,16000,37
30,16000,42,73,0,38
31,0,42,75,0,38
30,0,43,71,0,39
30,0,43,74,0,39
31,0,44,74,0,39
30,15000,44,103,0,40
30,0,33,88,0,40
30,16000,33,74,0,40
30,0,34,73,0,41
42,0,34,74,0,41
29,15000,35,74,0,36
30,16000,35,73,0,36
30,16000,35,74,15000,37
30,15000,36,71,0,37
30,0,36,78,16000,38
67,0,37,90,0,38
32,0,37,73,15000,38
37,0,38,72,16000,39
29,16000,38,72,0,39
355,15000,39,97,0,39
30,16000,39,85,16000,40
29,0,39,72,0,40
28,0,40,71,0,40
29,0,40,76,0,41
30,0,41,80,15000,41
37,16000,41,81,0,42
30,0,42,76,0,42
30,15000,42,74,16000,37
29,0,42,71,0,37
30,0,43,74,0,38
29,0,43,79,0,38
30,15000,44,72,0,38
29,0,44,73,16000,39
29,16000,44,74,0,39
29,0,34,95,0,39
53,0,35,86,0,40
30,0,35,73,15000,40
29,0,35,71,0,41
32,15000,36,73,0,41
396,0,36,73,0,41
29,0,37,74,0,42
29,0,37,71,0,42
31,16000,38,71,0,42
29,0,38,73,16000,43
30,0,38,71,0,43
29,0,39,73,15000,38
29,0,39,71,0,38
30,0,40,74,0,38
29,0,40,72,16000,39
29,32000,40,96,0,39
29,15000,41,89,0,39
29,0,41,72,0,40
31,16000,42,73,0,40
30,0,42,71,0,41
29,0,42,93,0,41
30,0,43,72,0,41
29,0,43,72,0,42
29,16000,44,73,0,42
29,0,44,73,0,42
30,16000,45,71,0,43
425,0,45,73,0,43
28,0,45,72,15000,38
29,15000,46,78,16000,38
51,0,46,72,0,39
30,16000,35,73,0,39
30,16000,36,81,0,39
30,0,36,77,0,40
30,15000,37,73,15000,40
29,0,37,73,0,41
29,0,37,74,0,41
29,0,38,71,15000,41
31,0,38,72,0,42
29,16000,39,72,0,42
29,0,39,74,0,43
32,16000,39,72,0,43
30,15000,40,74,0,43
29,16000,40,77,0,44
29,0,41,72,0,44
29,0,41,74,94000,33
29,0,41,73,0,33
414,0,42,73,0,33
30,0,42,84,0,34
29,0,43,75,0,34
37,0,43,72,0,34
33,16000,44,73,0,35
31,0,44,75,0,35
29,31000,44,73,0,36
38,15000,45,71,0,36
29,0,45,71,31000,36
29,0,46,77,0,37
28,15000,46,71,0,37
34,0,46,73,0,37
30,0,47,74,0,38
30,16000,47,74,0,38
31,62000,37,72,0,38
28,0,37,73,0,39
62,16000,37,86,16000,39
30,16000,38,82,0,39
29,0,38,72,0,40
29,0,39,79,0,40
30,0,39,73,16000,41
356,0,39,78,16000,41
29,0,40,75,0,41
29,0,40,74,15000,42
29,0,41,71,31000,42
28,0,41,71,0,42
29,0,41,74,0,43
28,16000,42,72,0,43
30,15000,42,76,0,44
28,0,43,72,0,44
59,16000,43,87,0,44
29,0,44,80,16000,45
42,0,44,74,0,45
35,0,44,82,16000,45
29,0,45,77,0,46
29,32000,45,72,15000,34
29,15000,46,73,0,34
29,0,46,72,0,35
31,0,46,72,16000,35
29,0,47,72,0,35
30,0,47,74,0,36
397,0,48,72,15000,36
29,16000,48,71,16000,36
31,16000,48,71,0,37
29,0,49,71,0,37
31,15000,31,72,0,38
30,0,32,71,0,38
29,0,32,74,0,38
30,0,33,76,0,39
30,0,33,96,0,39
30,16000,33,75,15000,39
28,0,34,73,0,40
28,16000,34,74,0,40
30,0,35,72,0,40
29,0,35,73,0,41
35,0,36,73,0,41
29,0,36,74,0,42
29,15000,36,73,0,42
51,0,37,74,0,42
