Res_Time_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
308,208,16000,36
80,171,0,35
81,230,0,36
90,185,0,36
80,170,15000,35
86,172,0,36
80,169,0,36
79,170,0,35
83,170,0,36
78,169,0,36
81,169,16000,36
77,169,0,36
76,167,0,35
75,169,0,36
79,172,0,36
78,169,0,36
82,170,0,36
78,171,0,36
78,171,0,36
87,169,0,36
80,170,16000,36
77,170,31000,37
79,168,0,36
74,172,0,37
79,170,0,37
76,169,0,36
79,172,0,37
75,171,0,37
78,167,16000,36
76,171,16000,37
76,173,0,37
76,171,0,36
81,171,16000,37
74,205,31000,37
77,168,0,36
76,170,15000,37
76,169,0,37
76,165,0,37
80,213,0,37
77,168,0,37
78,185,0,37
77,172,0,37
78,168,16000,37
75,168,0,37
80,172,16000,37
74,168,0,37
77,174,0,37
75,192,0,37
77,169,16000,38
97,170,0,37
145,172,0,37
76,171,0,37
78,202,0,37
76,170,0,38
77,171,0,38
75,194,0,37
77,169,0,38
125,170,0,38
81,170,31000,37
77,170,15000,38
82,172,0,38
76,168,16000,37
78,171,16000,38
76,172,0,38
76,188,0,37
78,172,16000,38
76,170,0,38
76,172,0,37
83,174,0,38
76,172,0,38
77,173,16000,38
75,169,0,38
76,170,0,38
74,168,0,38
78,170,0,38
78,174,0,38
76,168,16000,38
81,172,0,38
80,169,0,38
77,178,15000,38
78,186,0,38
75,191,16000,38
76,170,0,38
76,172,0,38
78,167,0,38
75,167,0,38
76,172,15000,38
73,170,16000,38
77,171,0,38
75,167,0,38
79,179,0,38
76,166,0,39
77,169,0,38
79,167,0,38
77,165,16000,39
93,205,0,38
78,172,0,38
74,168,0,39
78,170,15000,38
77,168,0,39
78,171,0,39
76,167,0,38
76,170,0,39
76,173,0,39
78,170,16000,39
75,168,31000,39
78,169,0,39
76,168,0,39
76,198,0,39
74,175,0,39
77,167,0,39
77,166,0,39
77,171,0,39
84,169,0,39
76,205,0,39
75,172,15000,39
79,166,0,39
75,168,16000,39
78,179,15000,39
74,195,0,40
78,166,0,39
74,168,0,39
76,168,16000,40
75,170,0,39
79,189,0,39
76,168,0,40
77,167,0,39
76,173,0,39
77,170,0,40
76,166,0,39
76,183,0,39
78,168,0,40
76,167,0,40
74,168,0,39
79,168,0,40
112,180,0,40
90,169,0,39
77,166,15000,40
