Res_Time_GQL,Cpu_usage_Rest,Ram_Usage_Rest,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
248,4180,37,59,2535,30
210,4255,37,50,2359,30
161,4426,37,60,1679,30
225,4419,38,110,3205,31
220,5000,37,62,3138,31
227,4113,37,60,2596,31
224,3680,37,71,3940,31
222,3588,37,59,3379,31
229,5087,38,39,2621,31
218,4400,38,50,2335,31
223,4035,37,61,3164,31
63,4228,37,122,2554,31
79,34174,37,48,2496,31
98,2691,38,38,2278,32
180,9658,38,60,1692,32
172,8370,38,40,1448,32
222,17994,37,41,2184,32
479,4118,37,39,1889,32
200,3934,37,42,2531,32
78,4091,38,48,2273,32
199,4287,38,52,2737,32
164,3999,37,116,3084,32
217,3701,37,43,2480,32
222,4290,38,41,2243,32
220,4277,38,50,4405,33
224,4477,38,50,2933,33
62,3749,38,51,2715,33
72,3742,37,59,2993,33
65,4228,38,49,5854,31
239,5432,38,40,1935,31
154,4333,38,51,2461,31
65,4043,38,140,2859,31
79,3864,38,49,2267,31
80,4287,38,40,2235,31
200,4304,38,51,1928,31
169,18319,38,49,2080,31
67,3806,38,40,1907,31
79,4324,38,49,1798,31
78,4043,38,50,1940,32
401,5823,38,50,2003,32
218,4589,38,96,2439,32
219,4409,38,65,2815,32
78,3896,38,50,2906,32
179,4493,38,39,2396,32
228,4556,38,40,2098,32
219,4667,38,39,1880,32
229,4507,38,72,2126,32
228,4634,38,49,2679,32
217,6315,38,49,1582,32
222,4478,38,119,1935,33
239,4480,38,51,8482,33
210,6104,38,51,1727,33
219,4637,38,49,1758,33
219,4657,38,41,1735,33
164,4487,38,39,2000,33
224,3308,38,41,1568,33
222,4481,39,69,1810,33
224,5814,38,51,2102,33
221,4070,38,135,3017,33
221,4281,38,45,2516,33
223,4413,38,40,2641,34
222,4479,38,40,2073,34
222,4497,39,51,1854,34
223,4520,39,90,6252,31
225,6134,38,48,2250,31
222,4416,38,61,1740,31
224,4579,38,50,1815,32
62,5674,39,97,2053,32
79,3879,39,45,2834,32
80,4119,39,60,2846,32
346,6089,38,79,2873,32
293,5887,39,50,2916,32
65,2212,39,50,2885,32
103,2862,39,39,2602,32
221,4377,39,41,2783,32
222,3775,39,40,2981,32
228,6322,38,122,3158,32
219,4594,39,58,3122,33
223,4327,39,50,3045,33
223,4567,39,119,2689,33
222,4302,39,50,2043,33
223,4611,39,60,2041,33
62,3957,39,39,2204,33
99,4114,39,39,1836,33
78,3968,39,107,1794,33
179,4417,39,54,1958,33
173,4247,39,50,2063,33
223,4490,39,50,2625,33
226,8239,39,39,2318,34
415,4643,39,40,1951,34
155,4421,39,40,1787,34
159,6553,39,70,1979,34
157,5897,39,61,2147,34
223,4501,39,120,2667,34
222,6186,39,49,2361,34
224,4457,39,50,1785,34
223,10706,39,61,2110,34
225,4563,39,49,2184,34
223,4141,39,39,1695,35
223,4488,40,42,2120,32
220,3066,40,50,2470,32
225,5125,39,47,1731,32
223,2839,39,40,1353,32
223,4303,39,95,1478,32
223,2511,40,45,1548,32
224,3486,40,39,1653,32
224,4098,40,40,1227,33
224,74553,29,40,1162,33
474,5004,30,70,1298,33
220,4047,30,51,1817,33
218,3507,30,41,1974,33
244,5534,30,60,2404,33
84,3511,30,39,1803,33
171,4717,29,98,1752,33
217,4408,30,51,1522,33
217,4748,30,60,1391,33
217,3472,30,72,1881,33
219,4249,30,39,2404,34
234,3297,30,40,2758,34
205,3427,30,39,2017,34
238,4663,30,41,2812,34
237,3279,30,50,2946,34
147,4125,30,133,2895,34
52,4507,29,57,2578,34
47,71135,29,40,2476,34
79,4634,29,40,2927,34
78,3078,29,40,1975,34
