Res_Time
88
58
60
158
86
31
28
25
26
25
25
25
24
25
25
24
25
27
27
30
29
27
28
25
26
23
25
23
25
26
24
23
23
23
23
25
24
23
24
23
23
23
35
23
24
23
39
40
23
36
65
27
29
24
23
27
23
24
23
24
25
25
24
29
31
27
23
24
25
25
24
24
25
25
25
26
25
24
24
26
28
26
28
25
23
23
30
24
24
23
23
27
29
32
27
26
49
28
28
29
29
25
24
24
25
25
25
24
23
23
23
25
24
25
24
23
23
23
24
26
30
30
29
31
29
27
27
27
24
28
24
23
24
27
25
23
25
41
30
27
23
23
24
24
23
23
23
25
24
23
23
25
26
28
23
23
29
26
24
23
23
25
27
26
26
25
23
24
28
23
24
27
27
28
23
23
37
39
23
24
23
24
24
23
23
24
37
24
23
23
23
40
24
23
23
23
23
23
23
23
23
54
23
25
23
26
25
23
22
27
22
23
24
23
23
36
23
25
28
33
26
26
22
23
23
24
25
32
25
24
31
28
23
23
23
23
23
23
23
24
23
23
24
23
24
22
36
24
23
25
27
31
31
27
22
24
26
53
26
25
35
24
24
23
22
23
23
22
25
23
24
25
22
23
24
24
23
24
23
23
23
23
24
24
25
26
26
27
25
23
25
25
28
31
27
27
27
28
24
25
